dimensione orizzonte,dimensione esplorati,tempo azione medio (sec),tempo esecuzione totale (sec),algorithm,heuristic
266,58,0.024415821864687163,1.417344570159912,A*,Manhattan distance
3181,794,0.027341760676213415,21.71403169631958,A*,Manhattan distance
1195,218,0.02476656436920166,5.4005653858184814,A*,Manhattan distance
3602,1081,0.02552666937610157,27.60041308403015,A*,Manhattan distance
10381,2050,0.030563913089473073,62.6719126701355,A*,Manhattan distance
4342,873,0.027775792321798318,24.253716230392456,A*,Manhattan distance
215,44,0.023635251955552536,1.040644884109497,A*,Manhattan distance obstacle density
1340,358,0.02716672420501709,9.727952718734741,A*,Manhattan distance obstacle density
1190,216,0.024427098256570322,5.2776994705200195,A*,Manhattan distance obstacle density
1762,558,0.02517277920972489,14.049555778503418,A*,Manhattan distance obstacle density
7252,1415,0.029665675180118412,41.98672127723694,A*,Manhattan distance obstacle density
1222,264,0.02513364138025226,6.63706636428833,A*,Manhattan distance obstacle density
227,28,0.02432408503123692,0.681652307510376,Best First,Manhattan distance
390,58,0.025586013136238886,1.4846231937408447,Best First,Manhattan distance
139,23,0.022385856379633366,0.5153665542602539,Best First,Manhattan distance
99,21,0.023031677518572127,0.48417210578918457,Best First,Manhattan distance
282,35,0.04453714234488351,1.5593311786651611,Best First,Manhattan distance
497,52,0.026315890825711764,1.3690309524536133,Best First,Manhattan distance
269,43,0.023701157680777615,1.0199904441833496,Best First,Manhattan distance obstacle density
390,55,0.02591838836669922,1.4261481761932373,Best First,Manhattan distance obstacle density
139,23,0.022846792055212933,0.5259878635406494,Best First,Manhattan distance obstacle density
88,23,0.02349543571472168,0.5408909320831299,Best First,Manhattan distance obstacle density
161,24,0.033924480279286705,0.8146929740905762,Best First,Manhattan distance obstacle density
244,31,0.025449622061944777,0.7894670963287354,Best First,Manhattan distance obstacle density
